group,run,seed,step,naulc
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,14,0.02200593220338983
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,15,0.0241135593220339
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,16,0.026150000000000003
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,17,0.02842457627118644
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,18,0.030926271186440677
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,19,0.03353220338983051
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,20,0.03624576271186441
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,21,0.03893305084745762
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,22,0.041566949152542366
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,23,0.04431440677966102
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,24,0.04717457627118644
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,25,0.050024576271186436
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,26,0.0530364406779661
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,27,0.05627118644067795
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,28,0.05980932203389829
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,29,0.06380593220338981
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,30,0.06826186440677966
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,31,0.07300762711864406
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,32,0.07813050847457627
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,33,0.08386016949152542
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,34,0.08994661016949151
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,35,0.09607118644067796
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,36,0.10255762711864405
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,37,0.10925169491525423
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,38,0.11604152542372881
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,39,0.12310423728813559
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,40,0.1310737288135593
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,41,0.14053559322033898
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,42,0.1511542372881356
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,43,0.16309491525423728
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,44,0.17607881355932203
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,45,0.18925677966101695
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,46,0.20223220338983053
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,47,0.2153322033898305
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,48,0.22846271186440678
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,49,0.24156949152542373
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,50,0.2549084745762712
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,51,0.2681686440677966
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,52,0.28113898305084745
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,53,0.294121186440678
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,54,0.3070237288135593
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,55,0.3196271186440678
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,56,0.3324542372881356
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,57,0.34551186440677967
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,58,0.35855847457627116
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,59,0.3714415254237288
TD3,run-20260621_235606-cxmnv919c5vgxd18ag5m2,83,60,0.3841915254237288
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,1,0.0
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,2,0.001238135593220339
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,3,0.0024983050847457626
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,4,0.0037864406779661015
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,5,0.005062711864406779
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,6,0.006320338983050847
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,7,0.007896610169491527
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,8,0.00986864406779661
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,9,0.011842372881355933
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,10,0.013680508474576272
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,11,0.015438983050847458
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,12,0.017282203389830508
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,13,0.019215254237288135
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,14,0.021105084745762715
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,15,0.02295847457627119
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,16,0.02478389830508475
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,17,0.026696610169491528
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,18,0.028741525423728816
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,19,0.030694067796610176
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,20,0.03255932203389831
TD3,run-20260622_012518-o3wa23ld5k0anno4nhwb9,739,21,0.03457796610169492
