step,metric,group,mean,sem,n
39,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,162882.2720375,45148.00532708584,8
40,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,159182.91405,41364.20469441997,8
41,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,178917.83174999998,61625.27475909206,8
42,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,182975.24603750004,64413.91075210382,8
43,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,180195.2270875,61721.13245304951,8
44,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,180663.76223749996,62785.03788772031,8
45,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,183140.954375,64993.328468520995,8
46,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,179390.56096250002,63777.568585207606,8
47,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,177244.0312125,58416.09921777529,8
48,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,181314.6860125,62674.532573772194,8
49,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,177678.45991249997,62462.8461500747,8
50,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,178562.41739999998,58918.556589828644,8
51,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,180151.73732500008,63521.098437733934,8
52,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,182346.1060125,64102.108422329926,8
53,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,177621.3559125,60551.84414423295,8
54,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,181849.98425,64431.06159283102,8
55,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,178567.07498749997,60408.969575009236,8
56,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,179372.69893749995,62636.119659121636,8
57,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,180240.64828749996,63728.062570611866,8
58,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,182828.20707499998,64769.666027867635,8
59,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,182391.54855,65173.82004877045,8
60,每百回合/累计收益/生产企业,Trans.+GAIL+TD3,183166.3292875,65591.00880700242,8
