step,metric,group,mean,sem,n
36,每百回合/累计收益/消费企业,TD3,111163.26970000002,30026.968790541854,8
37,每百回合/累计收益/消费企业,TD3,135445.45802500003,39685.35628469826,8
38,每百回合/累计收益/消费企业,TD3,141861.83636249998,38559.24490081351,8
39,每百回合/累计收益/消费企业,TD3,144448.50402499997,43165.39974746328,8
40,每百回合/累计收益/消费企业,TD3,151909.6073875,45390.79134963251,8
41,每百回合/累计收益/消费企业,TD3,168276.11071249997,38905.04210856928,8
42,每百回合/累计收益/消费企业,TD3,179534.43117500003,34017.015347549845,8
43,每百回合/累计收益/消费企业,TD3,185693.3840625,34994.25911355832,8
44,每百回合/累计收益/消费企业,TD3,181994.88561250002,36802.07956156261,8
45,每百回合/累计收益/消费企业,TD3,186312.7620375,37302.40796395191,8
46,每百回合/累计收益/消费企业,TD3,187831.25117499995,36099.17588852668,8
47,每百回合/累计收益/消费企业,TD3,187431.9597,36282.35943117525,8
48,每百回合/累计收益/消费企业,TD3,188763.6929625,36505.984760587904,8
49,每百回合/累计收益/消费企业,TD3,187202.40173750004,37394.309329520525,8
50,每百回合/累计收益/消费企业,TD3,186213.107525,37578.47407356219,8
51,每百回合/累计收益/消费企业,TD3,185249.01757499998,37440.271327046896,8
52,每百回合/累计收益/消费企业,TD3,186816.20432499997,35941.130681399016,8
53,每百回合/累计收益/消费企业,TD3,189553.66472499998,34745.6896001773,8
54,每百回合/累计收益/消费企业,TD3,191363.95342500004,32572.19367007853,8
55,每百回合/累计收益/消费企业,TD3,198239.28617500002,30608.29879887928,8
56,每百回合/累计收益/消费企业,TD3,196466.95235,29300.74871401215,8
57,每百回合/累计收益/消费企业,TD3,196189.86703750002,29366.726801999037,8
58,每百回合/累计收益/消费企业,TD3,196250.30621249997,29766.469229343707,8
59,每百回合/累计收益/消费企业,TD3,197478.5664625,29781.51658114806,8
60,每百回合/累计收益/消费企业,TD3,195611.81208750003,30334.050845681035,8
1,每百回合/累计收益/消费企业,GAIL+TD3,344.91143750000003,26.980053637614407,8
2,每百回合/累计收益/消费企业,GAIL+TD3,330.64219999999995,25.612977446027514,8
3,每百回合/累计收益/消费企业,GAIL+TD3,326.2692625,22.99245418782571,8
4,每百回合/累计收益/消费企业,GAIL+TD3,620.5054375,63.76233666376127,8
5,每百回合/累计收益/消费企业,GAIL+TD3,1037.456525,141.9838833843912,8
6,每百回合/累计收益/消费企业,GAIL+TD3,1811.0504875000001,247.66787314305162,8
7,每百回合/累计收益/消费企业,GAIL+TD3,2856.9226375000007,373.0691810389927,8
8,每百回合/累计收益/消费企业,GAIL+TD3,3844.3916375,523.1158797101995,8
9,每百回合/累计收益/消费企业,GAIL+TD3,8572.990550000002,2316.505815723703,8
10,每百回合/累计收益/消费企业,GAIL+TD3,30907.781199999994,8502.121426834758,8
11,每百回合/累计收益/消费企业,GAIL+TD3,48251.08834999999,10472.128676291906,8
12,每百回合/累计收益/消费企业,GAIL+TD3,63117.8966875,14063.48926933481,8
13,每百回合/累计收益/消费企业,GAIL+TD3,75807.7403,16631.59210193766,8
14,每百回合/累计收益/消费企业,GAIL+TD3,87252.74846249999,13509.921373591067,8
15,每百回合/累计收益/消费企业,GAIL+TD3,82234.35395,11988.883768539976,8
16,每百回合/累计收益/消费企业,GAIL+TD3,100322.0231375,12312.266525321375,8
17,每百回合/累计收益/消费企业,GAIL+TD3,116892.07615,12576.003585581635,8
18,每百回合/累计收益/消费企业,GAIL+TD3,122543.63295,10051.831858323938,8
19,每百回合/累计收益/消费企业,GAIL+TD3,134609.4448375,12538.422134925793,8
20,每百回合/累计收益/消费企业,GAIL+TD3,130110.65715,14135.152959597173,8
