algorithm,seed,episode,day,dscr,dscr_below_1
Transformer+GAIL+TD3,192,5891,38,3.5426793700175,0
Transformer+GAIL+TD3,192,5891,39,2.31513873751541,0
Transformer+GAIL+TD3,192,5891,40,3.9515211267605634,0
Transformer+GAIL+TD3,192,5891,41,4.026071665222489,0
Transformer+GAIL+TD3,192,5891,42,178.40085592011408,0
Transformer+GAIL+TD3,192,5891,43,5.121913811162651,0
Transformer+GAIL+TD3,192,5891,44,6.004888526775795,0
Transformer+GAIL+TD3,192,5891,45,3.8210965331479723,0
Transformer+GAIL+TD3,192,5891,46,4.645923350292741,0
Transformer+GAIL+TD3,192,5891,47,3.2180411052362277,0
Transformer+GAIL+TD3,192,5891,48,11.043742405832319,0
Transformer+GAIL+TD3,192,5891,49,3.415133214920071,0
Transformer+GAIL+TD3,192,5891,50,4.794452522702954,0
Transformer+GAIL+TD3,192,5891,51,5.109761113747824,0
Transformer+GAIL+TD3,192,5891,52,3.069282775446069,0
Transformer+GAIL+TD3,192,5891,53,4.22869465040026,0
Transformer+GAIL+TD3,192,5891,54,4.77723165670895,0
Transformer+GAIL+TD3,192,5891,55,2.758117418391962,0
Transformer+GAIL+TD3,192,5891,56,20.69428437938016,0
Transformer+GAIL+TD3,192,5891,58,3.4068996265953304,0
Transformer+GAIL+TD3,192,5891,59,12.177881257275901,0
Transformer+GAIL+TD3,192,5891,60,2.760443978325467,0
Transformer+GAIL+TD3,192,5891,61,8.07834602829162,0
Transformer+GAIL+TD3,192,5891,62,6.88679153490635,0
Transformer+GAIL+TD3,192,5891,63,3.6540934087212458,0
Transformer+GAIL+TD3,192,5891,64,6.59327748988429,0
Transformer+GAIL+TD3,192,5891,65,4.016596905520501,0
Transformer+GAIL+TD3,192,5891,66,4.030586254532896,0
Transformer+GAIL+TD3,192,5891,67,6.614703277236492,0
Transformer+GAIL+TD3,192,5891,68,3.6008063010937326,0
Transformer+GAIL+TD3,192,5891,69,4.438038729484,0
Transformer+GAIL+TD3,192,5891,70,5.442265857568124,0
Transformer+GAIL+TD3,192,5891,71,7.094595682989691,0
Transformer+GAIL+TD3,192,5891,72,2.7902608645046776,0
Transformer+GAIL+TD3,192,5891,73,38.05446194225722,0
Transformer+GAIL+TD3,192,5891,74,5.437062084932676,0
Transformer+GAIL+TD3,192,5891,75,3.009332416464347,0
Transformer+GAIL+TD3,192,5891,76,18.646194054230644,0
Transformer+GAIL+TD3,192,5891,77,5.717090746585482,0
Transformer+GAIL+TD3,192,5891,78,3.9597388876311213,0
Transformer+GAIL+TD3,192,5891,79,18.011527377521613,0
Transformer+GAIL+TD3,192,5891,80,2.6841549681947803,0
Transformer+GAIL+TD3,192,5891,81,7.249837466332311,0
Transformer+GAIL+TD3,192,5891,82,6.44345666901689,0
Transformer+GAIL+TD3,192,5891,83,4.426205834215846,0
Transformer+GAIL+TD3,192,5891,84,38.621681964773,0
Transformer+GAIL+TD3,192,5891,85,2.9338346332881855,0
Transformer+GAIL+TD3,192,5891,86,5.957967890590158,0
Transformer+GAIL+TD3,192,5891,87,2.8585468685458713,0
Transformer+GAIL+TD3,192,5891,88,47.3272390037096,0
Transformer+GAIL+TD3,192,5891,89,4.361634287409165,0
Transformer+GAIL+TD3,192,5891,90,4.9867164310694445,0
Transformer+GAIL+TD3,192,5891,91,6.839702333065165,0
Transformer+GAIL+TD3,192,5891,92,2.7906935123042507,0
Transformer+GAIL+TD3,192,5891,93,6.526106860453949,0
Transformer+GAIL+TD3,192,5891,94,15.506723484848488,0
Transformer+GAIL+TD3,192,5891,95,3.8445173383317717,0
Transformer+GAIL+TD3,192,5891,96,9.018558726220014,0
Transformer+GAIL+TD3,192,5891,97,2.6671711595479413,0
Transformer+GAIL+TD3,192,5891,98,2.1180829015544043,0
Transformer+GAIL+TD3,192,5892,5,4.055731225296442,0
Transformer+GAIL+TD3,192,5892,6,21.859932407059713,0
Transformer+GAIL+TD3,192,5892,7,95.93026004728131,0
Transformer+GAIL+TD3,192,5892,8,61.00281491907108,0
Transformer+GAIL+TD3,192,5892,9,9.065013404825736,0
Transformer+GAIL+TD3,192,5892,10,5.164194076342326,0
Transformer+GAIL+TD3,192,5892,11,3.1031924974675684,0
Transformer+GAIL+TD3,192,5892,12,3.306272644927536,0
Transformer+GAIL+TD3,192,5892,13,876.4140624999999,0
Transformer+GAIL+TD3,192,5892,14,19.023160061760166,0
Transformer+GAIL+TD3,192,5892,15,19.605612124082402,0
Transformer+GAIL+TD3,192,5892,16,526.6266233766235,0
Transformer+GAIL+TD3,192,5892,17,310.9544592030361,0
Transformer+GAIL+TD3,192,5892,18,4.106045894806641,0
Transformer+GAIL+TD3,192,5892,19,31.85459996252576,0
Transformer+GAIL+TD3,192,5892,20,12.152648864772239,0
Transformer+GAIL+TD3,192,5892,21,25.61393507521773,0
Transformer+GAIL+TD3,192,5892,22,19.53963180772181,0
Transformer+GAIL+TD3,192,5892,23,4.455802396959953,0
Transformer+GAIL+TD3,192,5892,24,4.656526319149615,0
Transformer+GAIL+TD3,192,5892,25,10.23777462792346,0
Transformer+GAIL+TD3,192,5892,26,9.948113541445458,0
Transformer+GAIL+TD3,192,5892,27,10.549346677787046,0
Transformer+GAIL+TD3,192,5892,28,8.386709228090542,0
Transformer+GAIL+TD3,192,5892,29,6.282053231939164,0
Transformer+GAIL+TD3,192,5892,30,2.6887789836210003,0
Transformer+GAIL+TD3,192,5892,31,4.154237750371201,0
Transformer+GAIL+TD3,192,5892,32,9.672165216261853,0
Transformer+GAIL+TD3,192,5892,33,9.39601414336226,0
Transformer+GAIL+TD3,192,5892,34,10.00997576509046,0
Transformer+GAIL+TD3,192,5892,35,2.691041821331354,0
Transformer+GAIL+TD3,192,5892,36,2.678152286170313,0
Transformer+GAIL+TD3,192,5892,37,2.6783458577290125,0
Transformer+GAIL+TD3,192,5892,38,138.67920585161966,0
Transformer+GAIL+TD3,192,5892,39,5.292222109155048,0
Transformer+GAIL+TD3,192,5892,40,184.94818652849742,0
Transformer+GAIL+TD3,192,5892,41,6.82414197220827,0
Transformer+GAIL+TD3,192,5892,42,3.2199231793703795,0
Transformer+GAIL+TD3,192,5892,43,4.72219284329279,0
Transformer+GAIL+TD3,192,5892,44,7.0599633932834625,0
Transformer+GAIL+TD3,192,5892,45,6.443125693939279,0
Transformer+GAIL+TD3,192,5892,47,126.75144508670523,0
Transformer+GAIL+TD3,192,5892,48,3.4573982339004954,0
Transformer+GAIL+TD3,192,5892,49,227.3455657492355,0
Transformer+GAIL+TD3,192,5892,50,2.526523278734279,0
