participant_id,seed,episode,day,auto_policy,decision_seconds,state_0_现金,state_1_存货,state_2_欠款总额,state_3_上一天售出数量,state_4_上一天产出数量,state_5_上一天销售价格,state_6_今天预设销售价格,state_7_上一天贷款意愿,state_8_上一天实际获得贷款,state_9_今天待还本金,state_10_今天待还利息,state_11_上一天A采购需求,state_12_上一天B采购需求,state_13_上一天甲公司向甲公司购买价格,state_14_上一天甲公司向甲公司购买数量,state_15_上一天甲公司向乙公司购买价格,state_16_上一天甲公司向乙公司购买数量,state_17_上一天甲公司向第三方市场购买A价格,state_18_上一天甲公司向第三方市场购买A数量,state_19_上一天甲公司向第三方市场购买B价格,state_20_上一天甲公司向第三方市场购买B数量,state_21_上一天乙公司向甲公司购买价格,state_22_上一天乙公司向甲公司购买数量,state_23_上一天乙公司向乙公司购买价格,state_24_上一天乙公司向乙公司购买数量,state_25_上一天乙公司向第三方市场购买A价格,state_26_上一天乙公司向第三方市场购买A数量,state_27_上一天乙公司向第三方市场购买B价格,state_28_上一天乙公司向第三方市场购买B数量,state_29_今天产品A报价：甲公司,state_30_今天产品A报价：第三方市场,state_31_今天产品B报价：乙公司,state_32_今天产品B报价：第三方市场,human_申请贷款金额,human_原料A采购需求,human_原料B采购需求,human_产品A销售价格,model_action_WNDF,model_action_K,model_action_L,model_action_price
1+,184,0,46,td3,22.655,2.2752,1.8835,0.0,2.912,3.935,7.814629999999999,7.814629999999999,0.010000000000000033,0.0,0.0,0.0,1.6960699999999995,1.6960699999999995,7.814629999999999,1.574,8.372009219567328,1.574,0.0,0.0,0.0,0.0,7.814629999999999,1.338,8.372009219567328,2.054,0.0,0.0,0.0,0.0,7.814629999999999,10.0,7.696068686884803,10.0,10.0,16.7911,16.7911,77.3648,-0.49560478199718705,-0.009999587281185107,-0.009999587281185107,-0.010000473470912818
1+,184,0,47,td3,11.507,2.34597,1.9504499999999998,0.00256,3.003,3.6725000000000003,7.814629999999999,7.73648,0.010000000000000024,0.00256,0.0,0.001,1.67911,1.67911,7.814629999999999,1.4689999999999999,7.696068686884803,1.4689999999999999,0.0,0.0,0.0,0.0,7.814629999999999,1.534,7.696068686884803,2.141,0.0,0.0,0.0,0.0,7.73648,10.0,8.89822287797112,10.0,10.0,17.7911,17.7911,80.3648,-0.495737370895621,0.0595553596845948,0.0595553596845948,0.03877732508841225
1+,184,0,48,td3,14.402,2.15548,2.0245,0.0030800000000000003,2.787,3.5275,7.73648,8.036480000000001,0.010000000000000057,0.0005200000000000001,0.0,0.002,1.77911,1.77911,7.73648,1.411,8.89822287797112,1.411,0.0,0.0,0.0,0.0,7.73648,1.376,8.89822287797112,2.293,0.0,0.0,0.0,0.0,8.036480000000001,10.0,7.032901696704826,10.0,0.0,14.7911,14.7911,77.3648,-0.5,-0.16862363766152744,-0.16862363766152744,-0.03732977622043476
1+,184,0,49,td3,13.402,2.51677,2.0689,0.0030800000000000003,3.1310000000000002,3.575,8.036480000000001,7.73648,0.0,0.0,0.0,0.002,1.47911,1.47911,8.036480000000001,1.4300000000000002,7.032901696704826,1.4300000000000002,0.0,0.0,0.0,0.0,8.036480000000001,1.701,7.032901696704826,2.2079999999999997,0.0,0.0,0.0,0.0,7.73648,10.0,8.897703322812983,10.0,0.0,16.2702,16.2702,85.1013,-0.5,0.09999932391776123,0.09999932391776123,0.10000025851550043
1+,184,0,50,td3,19.215,2.28458,2.15185,0.0030800000000000003,2.9530000000000003,3.7825,7.73648,8.51013,0.0,0.0,0.0,0.002,1.62702,1.62702,7.73648,1.5130000000000001,8.897703322812983,1.5130000000000001,0.0,0.0,0.0,0.0,7.73648,1.44,8.897703322812983,2.225,0.0,0.0,0.0,0.0,8.51013,10.0,7.343680337521216,10.0,0.0,16.1075,16.1075,80.1013,-0.5,-0.009999877075880903,-0.009999877075880903,-0.05875350905332832
1+,184,0,51,td3,9.997,2.77263,2.1863,0.0030800000000000003,3.258,3.6025,8.51013,8.010129999999998,0.0,0.0,0.00256,0.002,1.6107500000000001,1.6107500000000001,8.51013,1.441,7.343680337521216,1.441,0.0,0.0,0.0,0.0,8.51013,1.8170000000000002,7.343680337521216,1.902,0.0,0.0,0.0,0.0,8.010129999999998,10.0,8.735459898062881,10.0,0.0,16.1075,16.1075,81.1013,-0.5,0.0,0.0,0.012484191892016883
1+,184,0,52,td3,17.96,2.32799,2.3074500000000002,0.0005200000000000001,2.816,4.0275,8.010129999999998,8.11013,0.0,0.0,0.0005200000000000001,0.0,1.6107500000000001,1.6107500000000001,8.010129999999998,1.611,8.735459898062881,1.611,0.0,0.0,0.0,0.0,8.010129999999998,1.205,8.735459898062881,2.3899999999999997,0.0,0.0,0.0,0.0,8.11013,10.0,8.195435911362582,10.0,0.0,15.1075,15.1075,80.1013,-0.5,-0.06208288064566203,-0.06208288064566203,-0.012330258577852637
1+,184,0,53,td3,8.196,2.38422,2.37035,0.0,2.941,3.5699999999999994,8.11013,8.01013,0.0,0.0,0.0,0.0,1.51075,1.51075,8.11013,1.428,8.195435911362582,1.428,0.0,0.0,0.0,0.0,8.11013,1.5130000000000001,8.195435911362582,2.035,0.0,0.0,0.0,0.0,8.01013,10.0,7.170851083879543,10.0,0.0,15.1075,15.1075,77.1013,-0.5,0.0,0.0,-0.037452575676050426
1+,184,0,54,td3,10.358,2.6079499999999998,2.4338,0.0,3.143,3.7775,8.01013,7.710129999999998,0.0,0.0,0.0,0.0,1.51075,1.51075,8.01013,1.511,7.170851083879543,1.511,0.0,0.0,0.0,0.0,8.01013,1.6320000000000001,7.170851083879543,2.2039999999999997,0.0,0.0,0.0,0.0,7.710129999999998,10.0,8.941038709422514,10.0,0.0,16.1075,16.1075,81.1013,-0.5,0.06619228859837833,0.06619228859837833,0.051879799692093664
1+,184,0,55,td3,6.192,2.2070100000000004,2.5391000000000004,0.0,2.862,3.915,7.710129999999998,8.11013,0.0,0.0,0.0,0.0,1.6107500000000001,1.6107500000000001,7.710129999999998,1.566,8.941038709422514,1.566,0.0,0.0,0.0,0.0,7.710129999999998,1.296,8.941038709422514,1.685,0.0,0.0,0.0,0.0,8.11013,10.0,7.311370191567636,10.0,0.0,14.4968,14.4968,72.9912,-0.5,-0.09999689585596783,-0.09999689585596783,-0.09999963009224255
