algorithm,seed,episode,survival_days,valid_dscr_days_before_minimum_filter,removed_by_minimum_filter,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
GAIL+TD3,291,5886,98,94,0,94,69.98962866149905,7.244352144094693,0,0
GAIL+TD3,291,5890,98,94,0,94,51.36471671423421,5.8217404774669,0,0
GAIL+TD3,291,5896,98,94,0,94,65.03904920250832,7.180114725866521,0,0
GAIL+TD3,291,5900,98,94,0,94,127.75960175766272,8.831793199398431,0,0
GAIL+TD3,291,5910,94,90,0,90,63.21983449624986,6.400643930646159,1,1.1111111111111112
GAIL+TD3,291,5912,98,94,0,94,65.89517114554873,6.387819269821623,0,0
GAIL+TD3,291,5917,98,94,0,94,123.86661716313216,7.642249948491747,0,0
GAIL+TD3,291,5919,98,94,0,94,245.8175822145302,6.816131823828263,0,0
GAIL+TD3,291,5920,98,94,0,94,91.06002332535996,8.407449406478914,0,0
GAIL+TD3,291,5923,98,94,0,94,57.14674946874054,6.268612831872875,0,0
GAIL+TD3,291,5924,98,94,0,94,66.05925968107553,6.779229658956597,0,0
GAIL+TD3,291,5930,98,94,0,94,81.49482526385191,7.244340789742948,0,0
GAIL+TD3,291,5932,97,93,0,93,58.02740220956415,6.741227928073871,1,1.075268817204301
GAIL+TD3,291,5933,98,94,0,94,46.50821556315697,6.353110061550643,0,0
GAIL+TD3,291,5936,98,94,0,94,44.255809324817385,5.680805410784362,0,0
GAIL+TD3,291,5940,98,94,0,94,118.27265413818083,9.466986597314978,0,0
GAIL+TD3,291,5944,98,94,0,94,68.213028085349,5.983082014707074,0,0
GAIL+TD3,291,5948,91,87,0,87,68.33577420751817,8.08125240107568,1,1.1494252873563218
GAIL+TD3,291,5950,98,94,0,94,66.85007257556927,6.366829078199633,0,0
GAIL+TD3,291,5951,98,94,0,94,60.177661943852215,6.471989658289136,0,0
GAIL+TD3,291,5955,98,94,0,94,69.59117129903265,5.888830063872215,0,0
GAIL+TD3,291,5962,98,94,0,94,51.65295858745298,6.130534065259418,0,0
GAIL+TD3,291,5963,98,94,0,94,51.00128636355593,6.631362145677674,0,0
GAIL+TD3,291,5971,98,94,0,94,72.11322021156464,7.399748617111017,0,0
GAIL+TD3,291,5976,98,94,0,94,64.3405402188651,6.5205435784888,0,0
GAIL+TD3,291,5978,98,94,0,94,78.3622253545253,9.04400393422884,0,0
GAIL+TD3,291,5980,98,94,0,94,75.0713111724738,10.609087736654502,0,0
GAIL+TD3,291,5982,98,94,0,94,80.12808689269247,10.768812593271075,0,0
GAIL+TD3,291,5984,98,94,0,94,79.63452349165333,7.493626436449496,0,0
GAIL+TD3,291,5985,98,94,0,94,64.43105799206589,6.6926246316799105,0,0
GAIL+TD3,291,5989,98,94,0,94,63.00188339505116,5.196841252639384,0,0
GAIL+TD3,291,5992,98,94,0,94,58.541504326147496,6.224291959151618,0,0
GAIL+TD3,291,5994,98,94,0,94,54.11265770351402,6.572188023578066,0,0
GAIL+TD3,291,5995,93,89,0,89,60.36440113405397,6.569395699061961,0,0
GAIL+TD3,291,5998,98,94,0,94,86.57486329587933,6.367812299301248,0,0
