algorithm,seed,episode,survival_days,valid_dscr_days,mean_dscr,median_dscr,dscr_below_1_count,dscr_below_1_share_percent
TD3,739,5894,98,94,16.932976622253193,2.812051792294228,5,5.319148936170213
TD3,739,5896,98,94,21.406545796287617,2.7786701198567387,5,5.319148936170213
TD3,739,5898,98,94,17.563040570295055,2.8168732015436397,8,8.51063829787234
TD3,739,5899,98,94,15.196131498266102,2.78364592828408,8,8.51063829787234
TD3,739,5900,98,94,14.387862632162076,2.5469825133441586,8,8.51063829787234
TD3,739,5902,98,94,11.445997039879055,2.4409204895903724,7,7.446808510638298
TD3,739,5904,98,94,18.218620827940484,3.025137812551225,7,7.446808510638298
TD3,739,5905,98,94,13.770434964406936,2.279879604387274,3,3.1914893617021276
TD3,739,5907,96,92,14.027071609612394,2.3913957475517558,6,6.521739130434782
TD3,739,5908,98,94,8.894381627308269,2.2383624533420052,7,7.446808510638298
TD3,739,5910,98,94,23.271333334125583,2.7286790072465053,3,3.1914893617021276
TD3,739,5911,98,94,12.646023806455373,2.462563805515644,6,6.382978723404255
TD3,739,5914,98,94,15.597864143174286,2.8017125064582538,8,8.51063829787234
TD3,739,5917,98,94,12.460974957755242,2.230478568441499,4,4.25531914893617
TD3,739,5920,98,94,20.018760759187387,2.8303803752935166,7,7.446808510638298
TD3,739,5924,98,94,13.467401845912157,2.658971207668766,4,4.25531914893617
TD3,739,5926,98,94,13.213529902886068,2.907303048164431,8,8.51063829787234
TD3,739,5931,98,94,20.578493547087568,2.633863969640383,6,6.382978723404255
TD3,739,5935,98,94,14.16721239235912,2.972064041784269,6,6.382978723404255
TD3,739,5940,98,94,12.293612000503797,2.4829238016209763,7,7.446808510638298
TD3,739,5942,98,94,15.81022967994853,2.5226152895137286,6,6.382978723404255
TD3,739,5944,98,94,18.956221160722883,3.041181213852868,5,5.319148936170213
TD3,739,5945,98,94,10.44506315146524,2.750137375167409,9,9.574468085106384
TD3,739,5948,98,94,16.045881885978105,2.716824886811211,5,5.319148936170213
TD3,739,5949,91,87,8.263460374961623,2.211314681069048,7,8.045977011494253
TD3,739,5950,98,94,15.025234435348333,2.395552110121049,5,5.319148936170213
